Vehicle Speed (Kmph),Vehicle Direction (Degrees),Vehicles Overtaken,Licence,Collision,Parking Accuracy,Signal Jumps,Drunk (mg),Driver Score
67.22,2,3,1,0,3,0,0,64
59,2,5,1,0,3,0,0,64
38.86,2,7,1,0,3,0,0,65
41.09,2,6,1,0,3,0,0,68
69.6,2,11,1,0,3,0,0,56
40.2,2,4,1,0,3,0,0,70
65.08,2,5,1,0,3,0,0,62
50.98,2,4,1,0,3,0,0,66
53.85,2,3,1,0,3,0,0,67
36,2,9,1,0,3,0,0,63
61.93,2,9,1,0,3,0,0,59
53.86,2,2,1,0,3,0,0,68
55.62,2,5,1,0,3,0,0,64
65.03,2,10,1,0,3,0,0,56
67.32,2,4,1,0,3,0,0,63
59.99,2,6,1,0,3,0,0,63
65.5,2,3,1,0,3,0,0,64
47.59,2,7,1,0,3,0,0,66
33.13,2,7,1,0,3,0,0,64
60.45,2,7,1,0,3,0,0,61
45.49,2,3,1,0,3,0,0,70
70.97,2,10,1,0,3,0,0,55
32.46,2,5,1,0,3,0,0,66
70.36,2,10,1,0,3,0,0,55
39.04,2,10,1,0,3,0,0,61
66.17,2,4,1,0,3,0,0,63
60.52,2,11,1,0,3,0,0,57
40.16,2,7,1,0,3,0,0,67
63.31,2,6,1,0,3,0,0,62
59.96,2,11,1,0,3,0,0,58
57.75,2,8,1,0,3,0,0,61
67.35,2,3,1,0,3,0,0,64
32.57,2,8,1,0,3,0,0,63
64.26,2,4,1,0,3,0,0,64
48.74,2,9,1,0,3,0,0,64
69.98,2,4,1,0,3,0,0,63
31.78,2,7,1,0,3,0,0,64
68.99,2,8,1,0,3,0,0,59
67.43,2,6,1,0,3,0,0,61
44.46,2,10,1,0,3,0,0,63
49.45,2,8,1,0,3,0,0,65
66.4,2,7,1,0,3,0,0,60
33.04,2,10,1,0,3,0,0,60
32.29,2,9,1,0,3,0,0,62
55.63,2,3,1,0,3,0,0,66
45.83,2,9,1,0,3,0,0,64
51.75,2,5,1,0,3,0,0,65
59.34,2,5,1,0,3,0,0,64
51.09,2,8,1,0,3,0,0,62
61.49,2,9,1,0,3,0,0,59
35.02,2,6,1,0,3,0,0,66
39.1,2,11,1,0,3,0,0,61
53.43,2,3,1,0,3,0,0,67
49.9,2,10,1,0,3,0,0,62
57.41,2,3,1,0,3,0,0,66
45.09,2,7,1,0,3,0,0,66
62.39,2,10,1,0,3,0,0,57
51.23,2,11,1,0,3,0,0,59
33.63,2,6,1,0,3,0,0,65
69.36,2,7,1,0,3,0,0,60
49.15,2,8,1,0,3,0,0,65
41.48,2,4,1,0,3,0,0,70
61.42,2,4,1,0,3,0,0,64
64.84,2,6,1,0,3,0,0,62
51.49,2,6,1,0,3,0,0,64
37.91,2,9,1,0,3,0,0,63
37.98,2,10,1,0,3,0,0,61
64.47,2,9,1,0,3,0,0,59
56.67,2,3,1,0,3,0,0,66
34.65,2,10,1,0,3,0,0,60
58.72,2,4,1,0,3,0,0,65
44.92,2,6,1,0,3,0,0,68
31.51,2,7,1,0,3,0,0,64
46.43,2,8,1,0,3,0,0,65
67.26,2,7,1,0,3,0,0,60
34.33,2,8,1,0,3,0,0,63
43.46,2,10,1,0,3,0,0,63
36.48,2,9,1,0,3,0,0,63
53.87,2,4,1,0,3,0,0,66
45.96,2,5,1,0,3,0,0,68
33.72,2,6,1,0,3,0,0,65
43.59,2,4,1,0,3,0,0,70
60.17,2,11,1,0,3,0,0,57
46.99,2,9,1,0,3,0,0,64
31.3,2,10,1,0,3,0,0,60
44.34,2,8,1,0,3,0,0,66
44.73,2,3,1,0,3,0,0,71
33.55,2,7,1,0,3,0,0,64
42.49,2,5,1,0,3,0,0,69
67.46,2,7,1,0,3,0,0,60
65.72,2,9,1,0,3,0,0,58
39.37,2,2,1,0,2,0,0,68
75.7,2,3,1,0,2,0,0,60
69.56,2,7,1,0,2,0,0,58
74.51,2,5,1,0,2,0,0,59
71.44,2,6,1,0,2,0,0,58
58.22,2,5,1,0,2,0,0,62
55.76,2,5,1,0,2,0,0,62
64.58,2,2,1,0,2,0,0,64
71.4,2,5,1,0,2,0,0,59
35.08,2,6,1,0,2,0,0,64
63.47,2,3,1,0,2,0,0,63
49.59,2,5,1,0,2,0,0,66
60.07,2,4,1,0,2,0,0,62
76.93,2,5,1,0,2,0,0,58
44.36,2,4,1,0,2,0,0,68
30.04,2,2,1,0,2,0,0,67
38.77,2,2,1,0,2,0,0,68
78.51,2,4,1,0,2,0,0,59
32.92,2,3,1,0,2,0,0,66
69.78,2,3,1,0,2,0,0,62
60.51,2,4,1,0,2,0,0,62
74.28,2,5,1,0,2,0,0,59
36.86,2,8,1,0,2,0,0,62
66.28,2,3,1,0,2,0,0,62
34.75,2,9,1,0,2,0,0,60
34.94,2,9,1,0,2,0,0,60
66.26,2,8,1,0,2,0,0,57
45.77,2,6,1,0,2,0,0,65
71.72,2,3,1,0,2,0,0,61
72.65,2,2,1,0,2,0,0,62
51.17,2,2,1,0,2,0,0,66
72.29,2,6,1,0,2,0,0,58
45.6,2,5,1,0,2,0,0,66
43.4,2,5,1,0,2,0,0,67
38.06,2,7,1,0,2,0,0,63
50.32,2,4,1,0,2,0,0,64
45.45,2,4,1,0,2,0,0,67
56.25,2,7,1,0,2,0,0,60
59.61,2,5,1,0,2,0,0,62
30.14,2,4,1,0,2,0,0,65
48.53,2,8,1,0,2,0,0,63
46.59,2,3,1,0,2,0,0,68
61.25,2,4,1,0,2,0,0,62
39.9,2,8,1,0,2,0,0,62
30.31,2,7,1,0,2,0,0,62
35.49,2,2,1,0,2,0,0,68
56.6,2,8,1,0,2,0,0,59
50.67,2,2,1,0,2,0,0,66
56.94,2,6,1,0,2,0,0,61
49.87,2,9,1,0,2,0,0,62
70.31,2,8,1,0,2,0,0,56
59.55,2,7,1,0,2,0,0,60
65,2,3,1,0,2,0,0,63
52.11,2,8,1,0,2,0,0,60
42.61,2,4,1,0,2,0,0,68
46.62,2,5,1,0,2,0,0,66
63.66,2,8,1,0,2,0,0,58
50.56,2,4,1,0,2,0,0,64
56.85,2,7,1,0,2,0,0,60
37.03,2,9,1,0,2,0,0,61
57.24,2,4,1,0,2,0,0,63
30.14,2,8,1,0,2,0,0,61
69.91,2,2,1,0,2,0,0,63
35.06,2,9,1,0,2,0,0,61
57.81,2,8,1,0,2,0,0,59
53.9,2,9,1,0,2,0,0,59
41.59,2,3,1,0,2,0,0,69
33.42,2,5,1,0,2,0,0,64
35.63,2,5,1,0,2,0,0,65
51.73,2,6,1,0,2,0,0,62
51.14,2,7,1,0,2,0,0,61
71.68,2,5,1,0,2,0,0,59
63.33,2,2,1,0,2,0,0,64
65.95,2,5,1,0,2,0,0,60
45.86,2,2,1,0,2,0,0,69
64.47,2,4,1,0,2,0,0,62
69.8,2,3,1,0,2,0,0,62
41.66,2,3,1,0,2,0,0,69
66.87,2,4,1,0,2,0,0,61
33.84,2,7,1,0,2,0,0,62
38.01,2,9,1,0,2,0,0,61
51.32,2,3,1,0,2,0,0,65
49.74,2,8,1,0,2,0,0,63
55.57,2,7,1,0,2,0,0,60
45.97,2,4,1,0,2,0,0,67
43,2,6,1,0,2,0,0,66
37.57,2,8,1,0,2,0,0,62
46.27,2,7,1,0,2,0,0,64
58.88,2,5,1,0,2,0,0,62
52.38,2,9,1,0,2,0,0,59
52.66,2,6,1,0,2,0,0,62
43.93,2,11,1,0,2,0,0,61
43.71,2,9,1,0,2,0,0,63
35.97,2,9,1,0,2,0,0,61
44.23,2,4,1,0,2,0,0,68
36.94,2,3,1,0,2,0,0,67
58.49,2,3,1,0,2,0,0,64
35.8,2,3,1,0,2,0,0,67
68.46,2,5,1,0,2,0,0,60
34.51,2,5,1,0,2,0,0,64
67.4,2,7,1,0,2,0,0,58
37.07,2,9,1,0,2,0,0,61
61.52,2,3,1,0,2,0,0,63
36.53,2,11,1,0,2,0,0,59
50.74,2,4,1,0,2,0,0,64
41.67,2,5,1,0,2,0,0,67
49.87,2,5,1,0,2,0,0,66
64.69,2,2,1,0,2,0,0,64
31.48,2,9,1,0,2,0,0,60
66.41,2,3,1,0,2,0,0,62
34.38,2,2,1,0,2,0,0,67
52.53,2,8,1,0,2,0,0,60
50.16,2,2,1,0,2,0,0,66
59.92,2,9,1,0,2,0,0,58
55.38,2,11,1,0,2,0,0,56
53.86,2,5,1,0,2,0,0,63
59.65,2,10,1,0,2,0,0,56
33.93,2,11,1,0,2,0,0,58
51.5,2,4,1,0,2,0,0,64
62.86,2,8,1,0,2,0,0,58
49.68,2,11,1,0,2,0,0,60
36.53,2,8,1,0,2,0,0,62
38.45,2,10,1,0,2,0,0,59
31.9,2,5,1,0,2,0,0,64
36.29,2,11,1,0,2,0,0,59
38.15,2,6,1,0,2,0,0,64
36.39,2,9,1,0,2,0,0,61
50.31,2,2,1,0,2,0,0,66
62.03,2,5,1,0,2,0,0,61
67.91,2,3,1,0,2,0,0,62
47.36,2,5,1,0,2,0,0,66
36.76,2,7,1,0,2,0,0,63
68.79,2,7,1,0,2,0,0,58
39.97,2,10,1,0,2,0,0,59
59.9,2,10,1,0,2,0,0,56
43.91,2,10,1,0,2,0,0,61
30.52,2,11,1,0,2,0,0,58
43.57,2,3,1,0,2,0,0,69
55.24,2,6,1,0,2,0,0,61
65.64,2,2,1,0,2,0,0,63
53.43,2,7,1,0,2,0,0,61
52.66,2,6,1,0,2,0,0,62
30.98,2,3,1,0,2,0,0,66
47.19,2,9,1,0,2,0,0,62
36.43,2,10,1,0,2,0,0,59
65.82,2,5,1,0,2,0,0,60
63.42,2,6,1,0,2,0,0,60
35.44,2,6,1,0,2,0,0,64
40.11,2,5,1,0,2,0,0,67
32.29,2,6,1,0,2,0,0,63
63.68,2,8,1,0,2,0,0,58
47.15,2,3,1,0,2,0,0,68
41.93,2,2,1,0,2,0,0,70
50.48,2,5,1,0,2,0,0,63
69,2,4,1,0,2,0,0,61
35.76,2,3,1,0,2,0,0,67
65.52,2,3,1,0,2,0,0,62
51.51,2,2,1,0,2,0,0,66
46.9,2,2,1,0,2,0,0,69
31.86,2,3,1,0,2,0,0,66
59.44,2,8,1,0,2,0,0,59
42.36,2,5,1,0,4,0,0,70
52.29,2,6,1,0,4,0,0,65
60.9,2,8,1,0,4,0,0,61
42.48,2,2,1,0,4,0,0,73
43.27,2,6,1,0,4,0,0,69
53.9,2,9,1,0,4,0,0,62
47.54,2,9,1,0,4,0,0,65
47.2,2,5,1,0,4,0,0,69
50.21,2,6,1,0,4,0,0,65
39.74,2,6,1,0,4,0,0,67
40.72,2,4,1,0,4,0,0,71
50.95,2,3,1,0,4,0,0,68
58.24,2,9,1,0,4,0,0,61
46.15,2,9,1,0,4,0,0,65
37.03,2,3,1,0,4,0,0,70
42.66,2,5,1,0,4,0,0,70
50.18,2,8,1,0,4,0,0,63
37.93,2,3,1,0,4,0,0,70
68.86,2,9,1,0,4,0,0,59
67.32,2,5,1,0,4,0,0,63
45.63,2,6,1,0,4,0,0,68
36.08,2,6,1,0,4,0,0,67
57.99,2,3,1,0,4,0,0,67
39.2,2,4,1,0,4,0,0,69
33.6,2,3,1,0,4,0,0,69
50.99,2,7,1,0,4,0,0,64
41.66,2,3,1,0,4,0,0,72
42.72,2,2,1,0,4,0,0,73
64.86,2,5,1,0,4,0,0,64
43.15,2,7,1,0,4,0,0,68
59.54,2,7,1,0,4,0,0,63
32.24,2,2,1,0,4,0,0,70
60.79,2,4,1,0,4,0,0,65
56.42,2,6,1,0,4,0,0,64
51.45,2,6,1,0,4,0,0,65
48.65,2,4,1,0,4,0,0,70
61.28,2,2,1,0,4,0,0,67
46.7,2,7,1,0,4,0,0,67
70.67,2,5,1,0,4,0,0,62
67.35,2,5,1,0,4,0,0,63
77.23,2,3,1,0,4,0,0,63
41.15,2,2,1,0,4,0,0,73
55.49,2,5,1,0,4,0,0,65
65.13,2,7,1,0,4,0,0,61
73.38,2,5,1,0,4,0,0,62
53.07,2,5,1,0,4,0,0,66
79.31,2,2,1,0,4,0,0,64
61.55,2,3,1,0,4,0,0,66
52.61,2,3,1,0,4,0,0,68
56.49,2,3,1,0,4,0,0,67
39.46,2,8,1,0,4,0,0,65
61.91,2,8,1,0,4,0,0,61
44.85,2,4,1,0,4,0,0,71
44.12,2,4,1,0,4,0,0,71
55.9,2,3,1,0,4,0,0,67
37.12,2,6,1,0,4,0,0,67
70.39,2,8,1,0,4,0,0,59
68.6,2,11,1,0,4,0,0,57
67.99,2,11,1,0,4,0,0,57
51.75,2,5,1,0,4,0,0,66
41.04,2,9,1,0,4,0,0,66
69.17,2,8,1,0,4,0,0,60
46.09,2,7,1,0,4,0,0,67
64.95,2,7,1,0,4,0,0,62
37.22,2,2,1,0,4,0,0,71
68.21,2,3,1,0,4,0,0,65
51.7,2,11,1,0,4,0,0,60
66.09,2,11,1,0,4,0,0,57
48.14,2,11,1,0,4,0,0,63
47.59,2,4,1,0,4,0,0,70
49.49,2,8,1,0,4,0,0,66
62.57,2,2,1,0,4,0,0,67
35.75,2,6,1,0,4,0,0,67
53.19,2,7,1,0,4,0,0,64
60.79,2,2,1,0,4,0,0,67
67.85,2,2,1,0,4,0,0,66
50.38,2,11,1,0,4,0,0,60
62.12,2,2,1,0,4,0,0,67
32.74,2,11,1,0,4,0,0,61
37.98,2,5,1,0,4,0,0,68
34.77,2,11,1,0,4,0,0,61
61.67,2,9,1,0,4,0,0,60
53.96,2,11,1,0,4,0,0,60
47.63,2,11,1,0,4,0,0,63
32.94,2,7,1,0,4,0,0,65
52.21,2,4,1,0,4,0,0,67
67.21,2,11,1,0,4,0,0,57
46.06,2,7,1,0,4,0,0,67
38.42,2,5,1,0,4,0,0,68
36.6,2,11,1,0,4,0,0,62
31.4,2,6,1,0,4,0,0,66
56.94,2,5,1,0,4,0,0,65
40.35,2,6,1,0,4,0,0,69
65.63,2,3,1,0,4,0,0,65
54.96,2,11,1,0,4,0,0,60
47.88,2,9,1,0,4,0,0,65
50.47,2,6,1,0,4,0,0,65
56.19,2,8,1,0,4,0,0,62
54.1,2,6,1,0,4,0,0,65
39.82,2,11,1,0,4,0,0,62
45.26,2,7,1,0,4,0,0,67
38.97,2,9,1,0,4,0,0,64
53.33,2,11,1,0,4,0,0,60
56.96,2,8,1,0,4,0,0,62
33.9,2,2,1,0,4,0,0,70
35.65,2,5,1,0,4,0,0,68
51.9,2,11,1,0,4,0,0,60
54.31,2,8,1,0,4,0,0,63
46.48,2,2,1,0,4,0,0,72
57.57,2,6,1,0,4,0,0,64
55.15,2,4,1,0,4,0,0,66
47.65,2,8,1,0,4,0,0,66
69.02,2,11,1,0,4,0,0,57
67.47,2,5,1,0,4,0,0,63
33.23,2,8,1,0,4,0,0,64
38,2,4,1,0,4,0,0,69
66.64,2,6,1,0,4,0,0,62
44.13,2,5,1,0,4,0,0,70
32.19,2,10,1,0,4,0,0,61
34.12,2,8,1,0,4,0,0,64
56.27,2,9,1,0,4,0,0,61
35.25,2,2,1,0,4,0,0,71
38.98,2,8,1,0,4,0,0,65
45.5,2,9,1,0,4,0,0,65
62.36,2,5,1,0,4,0,0,64
48.52,2,5,1,0,4,0,0,69
56.72,2,10,1,0,4,0,0,59
60.54,2,11,1,0,4,0,0,58
41.96,2,11,1,0,4,0,0,64
32.25,2,4,1,0,4,0,0,68
31.18,2,3,1,0,4,0,0,69
43.33,2,6,1,0,4,0,0,69
67.31,2,11,1,0,4,0,0,57
46.67,2,10,1,0,4,0,0,63
65.22,2,10,1,0,4,0,0,57
69.04,2,2,1,0,4,0,0,66
54.11,2,10,1,0,4,0,0,60
51.8,2,8,1,0,4,0,0,63
62.29,2,7,1,0,4,0,0,62
43.87,2,11,1,0,4,0,0,64
46.73,2,8,1,0,4,0,0,66
61.42,2,11,1,0,4,0,0,58
52.04,2,11,1,0,4,0,0,60
33.83,2,6,1,0,4,0,0,66
57.15,2,4,1,0,4,0,0,66
36.76,2,7,1,0,4,0,0,66
50.93,2,11,1,0,4,0,0,60
57.53,2,8,1,0,4,0,0,62
42.83,2,11,1,0,4,0,0,64
38.48,2,10,1,0,4,0,0,62
48.54,2,10,1,0,4,0,0,63
69.53,2,6,1,0,6,0,0,65
54.11,2,8,1,0,7,0,0,67
60.02,2,5,1,0,5,0,0,66
46.54,2,2,1,0,7,0,0,76
61.31,2,3,1,0,7,0,0,70
57.75,2,5,1,0,7,0,0,69
43.56,2,4,1,0,6,0,0,74
59.22,2,3,1,0,6,0,0,70
55.86,2,8,1,0,7,0,0,66
69.17,2,4,1,0,7,0,0,68
46.56,2,3,1,0,6,0,0,74
50.15,2,6,1,0,5,0,0,67
47.98,2,6,1,0,5,0,0,70
30.77,2,4,1,0,6,0,0,71
34.87,2,9,1,0,7,0,0,67
33.77,2,7,1,0,6,0,0,68
31.9,2,4,1,0,5,0,0,70
49.02,2,8,1,0,5,0,0,68
61.52,2,4,1,0,5,0,0,67
62.03,2,2,1,0,5,0,0,69
65.84,2,4,1,0,6,0,0,67
46.29,2,8,1,0,5,0,0,68
45.6,2,4,1,0,5,0,0,72
49.92,2,8,1,0,5,0,0,68
52.99,2,6,1,0,5,0,0,67
39.85,2,4,1,0,6,0,0,72
35.73,2,9,1,0,5,0,0,66
40.86,2,9,1,0,7,0,0,70
67.54,2,6,1,0,5,0,0,64
47.63,2,9,1,0,7,0,0,69
63.59,2,5,1,0,7,0,0,68
34.5,2,7,1,0,7,0,0,69
47.75,2,8,1,0,7,0,0,70
46.06,2,9,1,0,7,0,0,69
35.61,2,9,1,0,5,0,0,66
40.29,2,5,1,0,7,0,0,74
45.04,2,2,1,0,6,0,0,75
68.19,2,9,1,0,7,0,0,63
39.12,2,2,1,0,5,0,0,73
65.64,2,7,1,0,6,0,0,64
64.26,2,5,1,0,7,0,0,68
46.1,2,6,1,0,5,0,0,70
42.72,2,8,1,0,7,0,0,71
66.41,2,7,1,0,5,0,0,63
51.3,2,3,1,0,7,0,0,72
37.17,2,4,1,0,5,0,0,71
43.46,2,2,1,0,6,0,0,76
51.94,2,7,1,0,6,0,0,67
52.11,2,4,1,0,6,0,0,70
40.99,2,7,1,0,7,0,0,72
60.5,2,7,1,0,6,0,0,65
33.69,2,4,1,0,6,0,0,71
35.91,2,8,1,0,5,0,0,67
56.89,2,8,1,0,6,0,0,65
53.3,2,3,1,0,6,0,0,71
41.39,2,6,1,0,5,0,0,71
37.43,2,6,1,0,7,0,0,71
37.72,2,6,1,0,7,0,0,71
52.93,2,9,1,0,6,0,0,65
32.46,2,8,1,0,6,0,0,67
68.84,2,3,1,0,5,0,0,67
63.85,2,4,1,0,6,0,0,68
50.24,2,9,1,0,7,0,0,66
39.48,2,9,1,0,6,0,0,67
66.44,2,9,1,0,7,0,0,63
59.01,2,4,1,0,5,0,0,68
46.15,2,2,1,0,7,0,0,76
59.03,2,9,1,0,5,0,0,63
63.2,2,9,1,0,5,0,0,62
42.71,2,5,1,0,5,0,0,72
68.91,2,5,1,0,6,0,0,66
53.39,2,9,1,0,7,0,0,66
41.4,2,6,1,0,5,0,0,71
56.86,2,8,1,0,6,0,0,65
49.04,2,8,1,0,6,0,0,69
31.32,2,3,1,0,5,0,0,71
33.04,2,9,1,0,6,0,0,66
70.53,2,7,1,0,6,0,0,63
66.16,2,7,1,0,6,0,0,64
63.73,2,4,1,0,5,0,0,67
72.15,2,7,1,0,6,0,0,63
79.11,2,2,1,0,5,0,0,66
64.55,2,2,1,0,6,0,0,70
38.99,2,3,1,0,6,0,0,73
75.72,2,4,1,0,6,0,0,65
38.13,2,2,1,0,6,0,0,74
41.29,2,7,1,0,5,0,0,70
63.31,2,3,1,0,6,0,0,69
61.64,2,6,1,0,6,0,0,66
77.98,2,6,1,0,6,0,0,63
63.5,2,4,1,0,6,0,0,68
60.15,2,3,1,0,6,0,0,69
64.91,2,4,1,0,5,0,0,67
52.93,2,2,1,0,5,0,0,71
64.7,2,4,1,0,5,0,0,67
37.87,2,7,1,0,5,0,0,68
56.12,2,5,1,0,5,0,0,67
60.87,2,7,1,0,5,0,0,64
67.97,2,3,1,0,6,0,0,68
55.16,2,2,1,0,5,0,0,70
75.24,2,5,1,0,6,0,0,64
72.65,2,3,1,0,5,0,0,66
61.31,2,7,1,0,5,0,0,64
57.62,2,5,1,0,5,0,0,67
59.36,2,3,1,0,5,0,0,69
37.74,2,4,1,0,5,0,0,71
56.43,2,5,1,0,5,0,0,67
51.85,2,6,1,0,5,0,0,67
48.51,2,3,1,0,6,0,0,74
49.78,2,5,1,0,7,0,0,73
50.2,2,3,1,0,5,0,0,70
38.05,2,7,1,0,6,0,0,69
67.58,2,8,1,0,5,0,0,62
31.13,2,5,1,0,5,0,0,69
34.44,2,7,1,0,8,0,0,70
32.6,2,2,1,0,7,0,0,74
45.32,2,5,1,0,6,0,0,72
50.94,2,4,1,0,6,0,0,70
37.51,2,7,1,0,7,0,0,70
71.87,2,4,1,0,7,0,0,67
55.64,2,3,1,0,6,0,0,70
48.19,2,2,1,0,8,0,0,77
30.41,2,6,1,0,7,0,0,70
55.79,2,3,1,0,7,0,0,71
64.58,2,7,1,0,7,0,0,66
52.76,2,4,1,0,7,0,0,71
68.61,2,7,1,0,7,0,0,65
71.77,2,3,1,0,1,0,0,59
67.34,2,2,1,0,1,0,0,61
72.42,2,4,1,0,1,0,0,58
37.1,2,7,1,0,1,0,0,61
30.82,2,4,1,0,1,0,0,63
66.82,2,8,1,0,1,0,0,55
54.73,2,6,1,0,1,0,0,60
44.52,2,7,1,0,1,0,0,63
34.72,2,8,1,0,1,0,0,59
51.28,2,7,1,0,1,0,0,59
62.44,2,4,1,0,1,0,0,60
47.63,2,6,1,0,1,0,0,63
56.39,2,9,1,0,1,0,0,56
56.5,2,6,1,0,1,0,0,59
39.19,2,9,1,0,1,0,0,59
60.43,2,3,1,0,1,0,0,61
66.7,2,7,1,0,1,0,0,56
62.25,2,5,1,0,1,0,0,59
43.9,2,4,1,0,1,0,0,66
68.64,2,7,1,0,1,0,0,56
59,2,6,1,0,1,0,0,59
33.26,2,6,1,0,1,0,0,61
44.57,2,3,1,0,1,0,0,67
46.23,2,6,1,0,1,0,0,63
33.34,2,3,1,0,1,0,0,64
71.85,2,4,1,0,1,0,0,58
55.22,2,5,1,0,1,0,0,60
36.54,2,5,1,0,1,0,0,63
41.73,2,6,1,0,1,0,0,64
55.46,2,3,1,0,1,0,0,62
68.59,2,4,1,0,1,0,0,59
52.46,2,6,1,0,1,0,0,60
42.78,2,5,1,0,1,0,0,65
68.77,2,7,1,0,1,0,0,56
36.27,2,4,1,0,1,0,0,64
48.8,2,4,1,0,1,0,0,65
69.4,2,9,1,0,1,0,0,54
54.94,2,5,1,0,1,0,0,61
32,2,6,1,0,1,0,0,61
33.41,2,6,1,0,1,0,0,61
51,2,2,1,0,1,0,0,64
63.79,2,3,1,0,1,0,0,61
60.36,2,4,1,0,1,0,0,60
37.16,2,4,1,0,1,0,0,64
51.13,2,4,1,0,1,0,0,62
71.17,2,9,1,0,1,0,0,53
68.74,2,6,1,0,1,0,0,57
33.8,2,2,1,0,1,0,0,65
65.9,2,7,1,0,1,0,0,56
36.34,2,5,1,0,1,0,0,63
